"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 25 09:23:12 ICT 2023","Fri Aug 25 09:23:12 ICT 2023","69","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 69",""
"passed","Mon Aug 28 03:14:27 ICT 2023","Mon Aug 28 03:14:44 ICT 2023","16649","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 17",""
"passed","Mon Oct 09 14:18:19 ICT 2023","Mon Oct 09 14:18:34 ICT 2023","14971","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 47",""
"passed","Fri Aug 25 12:23:43 ICT 2023","Fri Aug 25 12:24:00 ICT 2023","17112","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 60",""
"passed","Tue Sep 26 13:26:21 ICT 2023","Tue Sep 26 13:26:38 ICT 2023","16375","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 57",""
"passed","Fri Aug 25 12:18:45 ICT 2023","Fri Aug 25 12:19:02 ICT 2023","17519","","My Bosv2 applicationRajadesaSukaharja","","","","insert data 43",""
"passed","Tue Sep 26 13:11:38 ICT 2023","Tue Sep 26 13:11:40 ICT 2023","2086","","My Bosv2 applicationSukamantriMekarwangi","","","","Open the browser",""
"passed","Mon Oct 09 14:10:58 ICT 2023","Mon Oct 09 14:11:15 ICT 2023","17480","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 21",""
"passed","Mon Aug 28 03:13:57 ICT 2023","Mon Aug 28 03:14:12 ICT 2023","14835","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 15",""
"passed","Fri Aug 25 11:02:15 ICT 2023","Fri Aug 25 11:02:31 ICT 2023","16253","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 67",""
"passed","Tue Sep 26 12:18:46 ICT 2023","Tue Sep 26 12:19:03 ICT 2023","16481","","My Bosv2 applicationPanjaluSandingtaman","","","","insert data 76",""
"passed","Tue Sep 26 13:19:11 ICT 2023","Tue Sep 26 13:19:29 ICT 2023","18713","","My Bosv2 applicationSukamantriMekarwangi","","","","insert data 30",""
"broken","Mon Oct 09 14:49:38 ICT 2023","Mon Oct 09 14:49:38 ICT 2023","36","","My Bosv2 applicationRajadesaTanjungsari","","","","insert data 23",""
"passed","Fri Aug 25 09:58:36 ICT 2023","Fri Aug 25 09:58:54 ICT 2023","17659","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 55",""
"passed","Mon Oct 09 14:20:29 ICT 2023","Mon Oct 09 14:20:45 ICT 2023","16355","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 55",""
"passed","Tue Sep 26 13:52:11 ICT 2023","Tue Sep 26 13:52:28 ICT 2023","16661","","My Bosv2 applicationRajadesaSirnabaya","","","","insert data 50",""
"passed","Tue Sep 26 12:54:34 ICT 2023","Tue Sep 26 12:54:50 ICT 2023","15885","","My Bosv2 applicationSukamantriSukamantri","","","","insert data 68",""
